,game_id,event_id,inning,inning_top_bot,score,batting,fielding,description,player1,player1_end,player2,player2_end,player3,player3_end,player4,player4_end,pinch_player_in,pinch_player_out
1977,21,18,3,top,1-0,Oregon,Stanford,"Matthews, G walked (3-2 BBKBFB).","Matthews, G",first,,,,,,,,
1978,21,19,3,top,1-0,Oregon,Stanford,"Matthews, G out at second c to 2b, caught stealing.","Matthews, G",out,,,,,,,,
1979,21,20,3,top,1-0,Oregon,Stanford,"Soderman, R struck out swinging (2-2 SSBFBS).","Soderman, R",out,,,,,,,,
1980,21,21,3,bot,1-0,Stanford,Oregon,"Brueser, N. singled to shortstop (1-1 FB).","Brueser, N.",first,,,,,,,,
1981,21,22,3,bot,1-0,Stanford,Oregon,"Brueser, N. stole second.","Brueser, N.",second,,,,,,,,
1982,21,23,3,bot,1-1,Stanford,Oregon,"Branton,B singled to center field, RBI (3-2 SBBFBF) Brueser, N. scored.","Branton,B",first,"Brueser, N.",score,,,,,,
1983,21,24,3,bot,1-1,Stanford,Oregon,"Kuet,J flied out to lf (0-1 F).","Kuet,J",out,,,,,,,,
1984,21,25,3,bot,1-1,Stanford,Oregon,"Tawa, T. struck out swinging (1-2 BKFS).","Tawa, T.",out,,,,,,,,
1985,21,26,3,bot,1-1,Stanford,Oregon,"Branton,B out at second c to 2b, caught stealing.","Branton,B",out,,,,,,,,
1986,21,27,4,top,1-1,Oregon,Stanford,"Goldfarb, J flied out to lf (0-1 K).","Goldfarb, J",out,,,,,,,,
1987,21,28,4,top,1-1,Oregon,Stanford,"Yovan, K struck out swinging (3-2 KSBBFBS).","Yovan, K",out,,,,,,,,
1988,21,29,4,top,1-1,Oregon,Stanford,"Nelson, R grounded out to 1b unassisted (1-0 B).","Nelson, R",out,,,,,,,,
1989,21,30,4,bot,1-1,Stanford,Oregon,"Handley, M. grounded out to p (2-1 BKB).","Handley, M.",out,,,,,,,,
1990,21,31,4,bot,1-1,Stanford,Oregon,"Hoerner,N grounded out to ss (2-2 FBFB).","Hoerner,N",out,,,,,,,,
1991,21,32,4,bot,1-1,Stanford,Oregon,Daschbach struck out swinging (1-2 KFBS).,Daschbach,out,,,,,,,,
